Iter:     1 | Cost: 0.3182917 | Acc train: 0.1575729
 Iter:     2 | Cost: 0.2602370 | Acc train: 0.7784572
 Iter:     3 | Cost: 0.1704503 | Acc train: 0.7784572
 Iter:     4 | Cost: 0.1467954 | Acc train: 0.7784572
 Iter:     5 | Cost: 0.1231950 | Acc train: 0.7784572
 Iter:     6 | Cost: 0.1870594 | Acc train: 0.7784572
 Iter:     7 | Cost: 0.1518665 | Acc train: 0.7784572
 Iter:     8 | Cost: 0.1432254 | Acc train: 0.7784572
 Iter:     9 | Cost: 0.1208650 | Acc train: 0.7784572
 Iter:    10 | Cost: 0.1740401 | Acc train: 0.7784572
 Iter:    11 | Cost: 0.1386784 | Acc train: 0.7784572
 Iter:    12 | Cost: 0.1023618 | Acc train: 0.7784572
 Iter:    13 | Cost: 0.1248723 | Acc train: 0.7784572
 Iter:    14 | Cost: 0.1708756 | Acc train: 0.7784572
 Iter:    15 | Cost: 0.1291717 | Acc train: 0.7784572
 Iter:    16 | Cost: 0.1409358 | Acc train: 0.7784572
 Iter:    17 | Cost: 0.1324507 | Acc train: 0.7784572
 Iter:    18 | Cost: 0.1096058 | Acc train: 0.7784572
 Iter:    19 | Cost: 0.1543114 | Acc train: 0.7784572
 Iter:    20 | Cost: 0.1296846 | Acc train: 0.7784572
 Iter:    21 | Cost: 0.1317009 | Acc train: 0.7784572
 Iter:    22 | Cost: 0.1297230 | Acc train: 0.7784572
 Iter:    23 | Cost: 0.1040279 | Acc train: 0.7784572
 Iter:    24 | Cost: 0.0837729 | Acc train: 0.7789276
 Iter:    25 | Cost: 0.0618990 | Acc train: 0.7812794
 Iter:    26 | Cost: 0.1108331 | Acc train: 0.7841016
 Iter:    27 | Cost: 0.0903609 | Acc train: 0.7864534
 Iter:    28 | Cost: 0.0970449 | Acc train: 0.7864534
 Iter:    29 | Cost: 0.0763628 | Acc train: 0.7859831
 Iter:    30 | Cost: 0.0895500 | Acc train: 0.7859831
 Iter:    31 | Cost: 0.0986107 | Acc train: 0.7850423
 Iter:    32 | Cost: 0.0923267 | Acc train: 0.7850423
 Iter:    33 | Cost: 0.0805166 | Acc train: 0.7850423
 Iter:    34 | Cost: 0.0800762 | Acc train: 0.7850423
 Iter:    35 | Cost: 0.0884010 | Acc train: 0.7864534
 Iter:    36 | Cost: 0.0705744 | Acc train: 0.7864534
 Iter:    37 | Cost: 0.0745272 | Acc train: 0.7869238
 Iter:    38 | Cost: 0.1017373 | Acc train: 0.7869238
 Iter:    39 | Cost: 0.0752079 | Acc train: 0.7869238
 Iter:    40 | Cost: 0.0971225 | Acc train: 0.7869238
