Iter:     1 | Cost: 0.1672619 | Acc train: 0.5468750 | Acc test: 0.5847953
 Iter:     2 | Cost: 0.1445678 | Acc train: 0.6503906 | Acc test: 0.7251462
 Iter:     3 | Cost: 0.1161188 | Acc train: 0.6406250 | Acc test: 0.6842105
 Iter:     4 | Cost: 0.1317299 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:     5 | Cost: 0.1192136 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:     6 | Cost: 0.1326379 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:     7 | Cost: 0.1232034 | Acc train: 0.6484375 | Acc test: 0.7076023
 Iter:     8 | Cost: 0.0969284 | Acc train: 0.6738281 | Acc test: 0.7368421
 Iter:     9 | Cost: 0.0967982 | Acc train: 0.7285156 | Acc test: 0.8070175
 Iter:    10 | Cost: 0.0788154 | Acc train: 0.8144531 | Acc test: 0.8596491
 Iter:    11 | Cost: 0.0830544 | Acc train: 0.8242188 | Acc test: 0.8771930
 Iter:    12 | Cost: 0.0828628 | Acc train: 0.8261719 | Acc test: 0.8830409
 Iter:    13 | Cost: 0.1056079 | Acc train: 0.8183594 | Acc test: 0.8947368
 Iter:    14 | Cost: 0.0681344 | Acc train: 0.8183594 | Acc test: 0.9005848
 Iter:    15 | Cost: 0.0701646 | Acc train: 0.8183594 | Acc test: 0.9005848
 Iter:    16 | Cost: 0.0546047 | Acc train: 0.8242188 | Acc test: 0.9005848
 Iter:    17 | Cost: 0.0567150 | Acc train: 0.8281250 | Acc test: 0.9064327
 Iter:    18 | Cost: 0.0576317 | Acc train: 0.8417969 | Acc test: 0.9005848
 Iter:    19 | Cost: 0.0670912 | Acc train: 0.8339844 | Acc test: 0.9064327
 Iter:    20 | Cost: 0.0622827 | Acc train: 0.8222656 | Acc test: 0.9122807
 Iter:    21 | Cost: 0.0565479 | Acc train: 0.8281250 | Acc test: 0.9005848
 Iter:    22 | Cost: 0.0667342 | Acc train: 0.8242188 | Acc test: 0.8947368
 Iter:    23 | Cost: 0.0559457 | Acc train: 0.8242188 | Acc test: 0.8888889
 Iter:    24 | Cost: 0.0496788 | Acc train: 0.8222656 | Acc test: 0.8830409
 Iter:    25 | Cost: 0.0418490 | Acc train: 0.8261719 | Acc test: 0.8830409
 Iter:    26 | Cost: 0.0604730 | Acc train: 0.8261719 | Acc test: 0.8888889
 Iter:    27 | Cost: 0.0530649 | Acc train: 0.8398438 | Acc test: 0.8947368
 Iter:    28 | Cost: 0.0423634 | Acc train: 0.8320312 | Acc test: 0.9064327
 Iter:    29 | Cost: 0.0468813 | Acc train: 0.8417969 | Acc test: 0.9122807
 Iter:    30 | Cost: 0.0445734 | Acc train: 0.8437500 | Acc test: 0.9122807
 Iter:    31 | Cost: 0.0339228 | Acc train: 0.8437500 | Acc test: 0.9064327
 Iter:    32 | Cost: 0.0791769 | Acc train: 0.8457031 | Acc test: 0.9064327
 Iter:    33 | Cost: 0.0757719 | Acc train: 0.8437500 | Acc test: 0.9064327
 Iter:    34 | Cost: 0.0504289 | Acc train: 0.8437500 | Acc test: 0.9064327
 Iter:    35 | Cost: 0.0606391 | Acc train: 0.8476562 | Acc test: 0.9122807
 Iter:    36 | Cost: 0.0956500 | Acc train: 0.8554688 | Acc test: 0.9181287
 Iter:    37 | Cost: 0.0621895 | Acc train: 0.8554688 | Acc test: 0.9122807
 Iter:    38 | Cost: 0.0285301 | Acc train: 0.8613281 | Acc test: 0.9064327
 Iter:    39 | Cost: 0.0772627 | Acc train: 0.8593750 | Acc test: 0.9005848
 Iter:    40 | Cost: 0.0565707 | Acc train: 0.8593750 | Acc test: 0.9005848
 Iter:    41 | Cost: 0.0574562 | Acc train: 0.8593750 | Acc test: 0.9064327
 Iter:    42 | Cost: 0.0677649 | Acc train: 0.8554688 | Acc test: 0.9064327
 Iter:    43 | Cost: 0.0476584 | Acc train: 0.8554688 | Acc test: 0.9064327
 Iter:    44 | Cost: 0.0562888 | Acc train: 0.8554688 | Acc test: 0.9122807
 Iter:    45 | Cost: 0.0510047 | Acc train: 0.8652344 | Acc test: 0.9181287
 Iter:    46 | Cost: 0.0297292 | Acc train: 0.8710938 | Acc test: 0.9122807
 Iter:    47 | Cost: 0.0384429 | Acc train: 0.8671875 | Acc test: 0.9122807
 Iter:    48 | Cost: 0.0527374 | Acc train: 0.8691406 | Acc test: 0.9122807
 Iter:    49 | Cost: 0.0417609 | Acc train: 0.8691406 | Acc test: 0.9122807
 Iter:    50 | Cost: 0.0514408 | Acc train: 0.8730469 | Acc test: 0.9122807
 Iter:    51 | Cost: 0.0292893 | Acc train: 0.8730469 | Acc test: 0.9122807
 Iter:    52 | Cost: 0.0392464 | Acc train: 0.8671875 | Acc test: 0.9064327
 Iter:    53 | Cost: 0.0214143 | Acc train: 0.8593750 | Acc test: 0.9064327
 Iter:    54 | Cost: 0.0398149 | Acc train: 0.8632812 | Acc test: 0.9064327
 Iter:    55 | Cost: 0.0519583 | Acc train: 0.8632812 | Acc test: 0.9005848
 Iter:    56 | Cost: 0.0419334 | Acc train: 0.8535156 | Acc test: 0.9005848
 Iter:    57 | Cost: 0.0345288 | Acc train: 0.8457031 | Acc test: 0.8830409
 Iter:    58 | Cost: 0.0555514 | Acc train: 0.8437500 | Acc test: 0.8771930
 Iter:    59 | Cost: 0.0728844 | Acc train: 0.8417969 | Acc test: 0.8830409
 Iter:    60 | Cost: 0.0550869 | Acc train: 0.8574219 | Acc test: 0.8947368
 Iter:    61 | Cost: 0.0682682 | Acc train: 0.8554688 | Acc test: 0.8888889
 Iter:    62 | Cost: 0.0468882 | Acc train: 0.8574219 | Acc test: 0.8888889
 Iter:    63 | Cost: 0.0385800 | Acc train: 0.8691406 | Acc test: 0.9005848
 Iter:    64 | Cost: 0.0699629 | Acc train: 0.8671875 | Acc test: 0.9122807
 Iter:    65 | Cost: 0.0574776 | Acc train: 0.8554688 | Acc test: 0.9005848
 Iter:    66 | Cost: 0.0379404 | Acc train: 0.8593750 | Acc test: 0.9005848
 Iter:    67 | Cost: 0.0468536 | Acc train: 0.8574219 | Acc test: 0.9005848
 Iter:    68 | Cost: 0.0524491 | Acc train: 0.8554688 | Acc test: 0.9005848
