Iter:     1 | Cost: 0.1920076 | Acc train: 0.4654378 | Acc test: 0.4413793
 Iter:     2 | Cost: 0.1635926 | Acc train: 0.6797235 | Acc test: 0.7034483
 Iter:     3 | Cost: 0.1300111 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:     4 | Cost: 0.1103328 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:     5 | Cost: 0.1110481 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:     6 | Cost: 0.1443847 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:     7 | Cost: 0.0943089 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:     8 | Cost: 0.0914667 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:     9 | Cost: 0.1206479 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    10 | Cost: 0.0920727 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    11 | Cost: 0.0893736 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    12 | Cost: 0.0979584 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    13 | Cost: 0.0902174 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    14 | Cost: 0.1271066 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    15 | Cost: 0.0686131 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    16 | Cost: 0.0835059 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    17 | Cost: 0.1160823 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    18 | Cost: 0.1194063 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    19 | Cost: 0.1027659 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    20 | Cost: 0.1077008 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    21 | Cost: 0.1123937 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    22 | Cost: 0.1012675 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    23 | Cost: 0.0743956 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    24 | Cost: 0.1085094 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    25 | Cost: 0.1233336 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    26 | Cost: 0.0908037 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    27 | Cost: 0.0991546 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    28 | Cost: 0.0723724 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    29 | Cost: 0.1543497 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    30 | Cost: 0.0673283 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    31 | Cost: 0.1005690 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    32 | Cost: 0.1145494 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    33 | Cost: 0.1004304 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    34 | Cost: 0.0724159 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    35 | Cost: 0.0969000 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    36 | Cost: 0.0619930 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    37 | Cost: 0.0882493 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    38 | Cost: 0.0810810 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    39 | Cost: 0.0910504 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    40 | Cost: 0.0884442 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    41 | Cost: 0.0635967 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    42 | Cost: 0.1221358 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    43 | Cost: 0.0879834 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    44 | Cost: 0.0891858 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    45 | Cost: 0.1287289 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    46 | Cost: 0.1136686 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    47 | Cost: 0.0956091 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    48 | Cost: 0.0723896 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    49 | Cost: 0.0777343 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    50 | Cost: 0.1325806 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    51 | Cost: 0.0790992 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    52 | Cost: 0.1039106 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    53 | Cost: 0.0726316 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    54 | Cost: 0.1207116 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    55 | Cost: 0.0405056 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    56 | Cost: 0.0860690 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    57 | Cost: 0.1157273 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    58 | Cost: 0.1501418 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    59 | Cost: 0.0966078 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    60 | Cost: 0.0890261 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    61 | Cost: 0.1052392 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    62 | Cost: 0.0965891 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    63 | Cost: 0.1211145 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    64 | Cost: 0.0771250 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    65 | Cost: 0.1019412 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    66 | Cost: 0.0351794 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    67 | Cost: 0.0698926 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    68 | Cost: 0.0778657 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    69 | Cost: 0.0535053 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    70 | Cost: 0.0972714 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    71 | Cost: 0.0692863 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    72 | Cost: 0.1137872 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    73 | Cost: 0.0641866 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    74 | Cost: 0.0861689 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    75 | Cost: 0.0875022 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    76 | Cost: 0.0863989 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    77 | Cost: 0.0372137 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    78 | Cost: 0.1393934 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    79 | Cost: 0.0688066 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    80 | Cost: 0.1114504 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    81 | Cost: 0.0937624 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    82 | Cost: 0.1028953 | Acc train: 0.7096774 | Acc test: 0.7310345
 Iter:    83 | Cost: 0.1029541 | Acc train: 0.7096774 | Acc test: 0.7310345
