Iter:     1 | Cost: 0.1037956 | Acc train: 0.6289062 | Acc test: 0.6783626
 Iter:     2 | Cost: 0.1228253 | Acc train: 0.6445312 | Acc test: 0.6549708
 Iter:     3 | Cost: 0.0944741 | Acc train: 0.6718750 | Acc test: 0.6725146
 Iter:     4 | Cost: 0.1144269 | Acc train: 0.7089844 | Acc test: 0.7134503
 Iter:     5 | Cost: 0.0596803 | Acc train: 0.7070312 | Acc test: 0.6959064
 Iter:     6 | Cost: 0.1015299 | Acc train: 0.7207031 | Acc test: 0.7134503
 Iter:     7 | Cost: 0.0377418 | Acc train: 0.6953125 | Acc test: 0.7017544
 Iter:     8 | Cost: 0.1316758 | Acc train: 0.7050781 | Acc test: 0.6900585
 Iter:     9 | Cost: 0.0300230 | Acc train: 0.7128906 | Acc test: 0.7192982
 Iter:    10 | Cost: 0.1388688 | Acc train: 0.7402344 | Acc test: 0.7602339
 Iter:    11 | Cost: 0.0520192 | Acc train: 0.7558594 | Acc test: 0.7719298
 Iter:    12 | Cost: 0.1445433 | Acc train: 0.7968750 | Acc test: 0.8187135
 Iter:    13 | Cost: 0.1211558 | Acc train: 0.8300781 | Acc test: 0.8304094
 Iter:    14 | Cost: 0.1620679 | Acc train: 0.8085938 | Acc test: 0.8128655
 Iter:    15 | Cost: 0.0783627 | Acc train: 0.7988281 | Acc test: 0.8070175
 Iter:    16 | Cost: 0.0774327 | Acc train: 0.7929688 | Acc test: 0.8245614
 Iter:    17 | Cost: 0.0592883 | Acc train: 0.7910156 | Acc test: 0.8187135
 Iter:    18 | Cost: 0.0785124 | Acc train: 0.7890625 | Acc test: 0.8304094
 Iter:    19 | Cost: 0.0567117 | Acc train: 0.7988281 | Acc test: 0.8245614
 Iter:    20 | Cost: 0.0932152 | Acc train: 0.8515625 | Acc test: 0.8362573
 Iter:    21 | Cost: 0.1053465 | Acc train: 0.8593750 | Acc test: 0.8421053
 Iter:    22 | Cost: 0.0702576 | Acc train: 0.8378906 | Acc test: 0.8187135
 Iter:    23 | Cost: 0.0529244 | Acc train: 0.8183594 | Acc test: 0.8128655
 Iter:    24 | Cost: 0.0953285 | Acc train: 0.8007812 | Acc test: 0.8187135
