Iter:     1 | Cost: 0.1760636 | Acc train: 0.3828125 | Acc test: 0.3157895
 Iter:     2 | Cost: 0.1725444 | Acc train: 0.3710938 | Acc test: 0.3274854
 Iter:     3 | Cost: 0.1653150 | Acc train: 0.3964844 | Acc test: 0.3625731
 Iter:     4 | Cost: 0.1628505 | Acc train: 0.4121094 | Acc test: 0.3918129
 Iter:     5 | Cost: 0.1566803 | Acc train: 0.4179688 | Acc test: 0.4502924
 Iter:     6 | Cost: 0.1542169 | Acc train: 0.4355469 | Acc test: 0.4736842
 Iter:     7 | Cost: 0.1575354 | Acc train: 0.5175781 | Acc test: 0.5730994
 Iter:     8 | Cost: 0.1375295 | Acc train: 0.5214844 | Acc test: 0.6023392
 Iter:     9 | Cost: 0.1447746 | Acc train: 0.5546875 | Acc test: 0.5847953
 Iter:    10 | Cost: 0.1592095 | Acc train: 0.5703125 | Acc test: 0.5964912
 Iter:    11 | Cost: 0.1580176 | Acc train: 0.5703125 | Acc test: 0.6023392
 Iter:    12 | Cost: 0.1369775 | Acc train: 0.6152344 | Acc test: 0.6842105
 Iter:    13 | Cost: 0.1266492 | Acc train: 0.6093750 | Acc test: 0.6900585
 Iter:    14 | Cost: 0.1324453 | Acc train: 0.6406250 | Acc test: 0.7134503
 Iter:    15 | Cost: 0.1353294 | Acc train: 0.6445312 | Acc test: 0.7076023
 Iter:    16 | Cost: 0.1367831 | Acc train: 0.6445312 | Acc test: 0.7076023
 Iter:    17 | Cost: 0.1210096 | Acc train: 0.6445312 | Acc test: 0.6842105
 Iter:    18 | Cost: 0.1527328 | Acc train: 0.6445312 | Acc test: 0.6900585
 Iter:    19 | Cost: 0.1193403 | Acc train: 0.6406250 | Acc test: 0.6900585
 Iter:    20 | Cost: 0.1122917 | Acc train: 0.6406250 | Acc test: 0.6900585
 Iter:    21 | Cost: 0.1259354 | Acc train: 0.6406250 | Acc test: 0.6900585
 Iter:    22 | Cost: 0.1074193 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    23 | Cost: 0.0931644 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    24 | Cost: 0.1237311 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    25 | Cost: 0.1029246 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    26 | Cost: 0.1319974 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    27 | Cost: 0.1099766 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    28 | Cost: 0.1087863 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    29 | Cost: 0.1240707 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    30 | Cost: 0.1126166 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    31 | Cost: 0.1011740 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    32 | Cost: 0.1157748 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    33 | Cost: 0.0941092 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    34 | Cost: 0.1266631 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    35 | Cost: 0.0995378 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    36 | Cost: 0.1251617 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    37 | Cost: 0.0945858 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    38 | Cost: 0.0916757 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    39 | Cost: 0.1227584 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    40 | Cost: 0.1141648 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    41 | Cost: 0.0929461 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    42 | Cost: 0.0979604 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    43 | Cost: 0.1105446 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    44 | Cost: 0.0937007 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    45 | Cost: 0.0807808 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    46 | Cost: 0.0754944 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    47 | Cost: 0.1257855 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    48 | Cost: 0.0927794 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    49 | Cost: 0.1176708 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    50 | Cost: 0.1169868 | Acc train: 0.6406250 | Acc test: 0.6842105
 Iter:    51 | Cost: 0.1160752 | Acc train: 0.6406250 | Acc test: 0.6842105
 Iter:    52 | Cost: 0.1116872 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    53 | Cost: 0.0855231 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    54 | Cost: 0.1011240 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    55 | Cost: 0.1038085 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    56 | Cost: 0.0770507 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    57 | Cost: 0.0985178 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    58 | Cost: 0.0889182 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    59 | Cost: 0.0814969 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    60 | Cost: 0.1342170 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    61 | Cost: 0.1274448 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    62 | Cost: 0.1118257 | Acc train: 0.6406250 | Acc test: 0.6959064
 Iter:    63 | Cost: 0.0982392 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    64 | Cost: 0.0858830 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    65 | Cost: 0.0935729 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    66 | Cost: 0.1089807 | Acc train: 0.6406250 | Acc test: 0.7017544
