Iter:     1 | Cost: 0.1760636 | Acc train: 0.3828125 | Acc test: 0.3157895
 Iter:     2 | Cost: 0.1725444 | Acc train: 0.4082031 | Acc test: 0.4093567
 Iter:     3 | Cost: 0.1620744 | Acc train: 0.5097656 | Acc test: 0.5730994
 Iter:     4 | Cost: 0.1518176 | Acc train: 0.6132812 | Acc test: 0.6900585
 Iter:     5 | Cost: 0.1400666 | Acc train: 0.6445312 | Acc test: 0.6842105
 Iter:     6 | Cost: 0.1297302 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:     7 | Cost: 0.1245898 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:     8 | Cost: 0.1321001 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:     9 | Cost: 0.1093834 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    10 | Cost: 0.1833937 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    11 | Cost: 0.1730201 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    12 | Cost: 0.1085951 | Acc train: 0.6445312 | Acc test: 0.6959064
 Iter:    13 | Cost: 0.0932604 | Acc train: 0.6640625 | Acc test: 0.7368421
 Iter:    14 | Cost: 0.1052150 | Acc train: 0.7109375 | Acc test: 0.7719298
 Iter:    15 | Cost: 0.1124282 | Acc train: 0.7578125 | Acc test: 0.7894737
 Iter:    16 | Cost: 0.1151185 | Acc train: 0.7617188 | Acc test: 0.8362573
 Iter:    17 | Cost: 0.1118282 | Acc train: 0.7714844 | Acc test: 0.8187135
 Iter:    18 | Cost: 0.1172480 | Acc train: 0.7558594 | Acc test: 0.8070175
 Iter:    19 | Cost: 0.0880193 | Acc train: 0.7148438 | Acc test: 0.7836257
 Iter:    20 | Cost: 0.0814082 | Acc train: 0.6914062 | Acc test: 0.7426901
 Iter:    21 | Cost: 0.0994948 | Acc train: 0.6796875 | Acc test: 0.7309942
 Iter:    22 | Cost: 0.0827393 | Acc train: 0.6777344 | Acc test: 0.7309942
 Iter:    23 | Cost: 0.0749708 | Acc train: 0.6777344 | Acc test: 0.7309942
 Iter:    24 | Cost: 0.0993693 | Acc train: 0.7011719 | Acc test: 0.7485380
 Iter:    25 | Cost: 0.0803938 | Acc train: 0.7167969 | Acc test: 0.7602339
 Iter:    26 | Cost: 0.1144497 | Acc train: 0.7597656 | Acc test: 0.7953216
 Iter:    27 | Cost: 0.0759444 | Acc train: 0.7929688 | Acc test: 0.8596491
 Iter:    28 | Cost: 0.0752248 | Acc train: 0.8046875 | Acc test: 0.8888889
 Iter:    29 | Cost: 0.1091047 | Acc train: 0.8105469 | Acc test: 0.8947368
 Iter:    30 | Cost: 0.0728788 | Acc train: 0.8007812 | Acc test: 0.8596491
 Iter:    31 | Cost: 0.0730578 | Acc train: 0.8007812 | Acc test: 0.8421053
 Iter:    32 | Cost: 0.1018995 | Acc train: 0.8066406 | Acc test: 0.8538012
 Iter:    33 | Cost: 0.0760694 | Acc train: 0.7988281 | Acc test: 0.8888889
 Iter:    34 | Cost: 0.0865951 | Acc train: 0.8144531 | Acc test: 0.9005848
 Iter:    35 | Cost: 0.0659423 | Acc train: 0.8085938 | Acc test: 0.9005848
 Iter:    36 | Cost: 0.0835843 | Acc train: 0.8027344 | Acc test: 0.8947368
 Iter:    37 | Cost: 0.0530739 | Acc train: 0.8007812 | Acc test: 0.8888889
 Iter:    38 | Cost: 0.0603293 | Acc train: 0.7988281 | Acc test: 0.8830409
 Iter:    39 | Cost: 0.0705080 | Acc train: 0.8007812 | Acc test: 0.8947368
 Iter:    40 | Cost: 0.0549166 | Acc train: 0.8085938 | Acc test: 0.9122807
 Iter:    41 | Cost: 0.0454703 | Acc train: 0.8144531 | Acc test: 0.8947368
 Iter:    42 | Cost: 0.0536067 | Acc train: 0.8105469 | Acc test: 0.8888889
 Iter:    43 | Cost: 0.0607525 | Acc train: 0.8164062 | Acc test: 0.8888889
 Iter:    44 | Cost: 0.0798700 | Acc train: 0.8183594 | Acc test: 0.8830409
 Iter:    45 | Cost: 0.0805986 | Acc train: 0.8222656 | Acc test: 0.8888889
 Iter:    46 | Cost: 0.0578119 | Acc train: 0.8105469 | Acc test: 0.8888889
 Iter:    47 | Cost: 0.1026015 | Acc train: 0.8125000 | Acc test: 0.8947368
 Iter:    48 | Cost: 0.0672898 | Acc train: 0.8144531 | Acc test: 0.8888889
 Iter:    49 | Cost: 0.0892635 | Acc train: 0.8144531 | Acc test: 0.8888889
 Iter:    50 | Cost: 0.0478465 | Acc train: 0.8144531 | Acc test: 0.8947368
 Iter:    51 | Cost: 0.0856611 | Acc train: 0.8203125 | Acc test: 0.8947368
 Iter:    52 | Cost: 0.0748827 | Acc train: 0.8222656 | Acc test: 0.8888889
 Iter:    53 | Cost: 0.0479983 | Acc train: 0.8144531 | Acc test: 0.8888889
 Iter:    54 | Cost: 0.0610137 | Acc train: 0.8066406 | Acc test: 0.8771930
 Iter:    55 | Cost: 0.0650292 | Acc train: 0.8085938 | Acc test: 0.8771930
 Iter:    56 | Cost: 0.0462874 | Acc train: 0.8144531 | Acc test: 0.8830409
 Iter:    57 | Cost: 0.0533993 | Acc train: 0.8144531 | Acc test: 0.8830409
 Iter:    58 | Cost: 0.0590237 | Acc train: 0.8164062 | Acc test: 0.8947368
 Iter:    59 | Cost: 0.0733646 | Acc train: 0.8222656 | Acc test: 0.8947368
 Iter:    60 | Cost: 0.0830631 | Acc train: 0.8183594 | Acc test: 0.8888889
 Iter:    61 | Cost: 0.0579364 | Acc train: 0.8203125 | Acc test: 0.8947368
 Iter:    62 | Cost: 0.0762319 | Acc train: 0.8183594 | Acc test: 0.8947368
 Iter:    63 | Cost: 0.0416945 | Acc train: 0.8183594 | Acc test: 0.8947368
 Iter:    64 | Cost: 0.0651495 | Acc train: 0.8261719 | Acc test: 0.9005848
 Iter:    65 | Cost: 0.0533766 | Acc train: 0.8242188 | Acc test: 0.8947368
 Iter:    66 | Cost: 0.0579793 | Acc train: 0.8242188 | Acc test: 0.8947368
 Iter:    67 | Cost: 0.0724119 | Acc train: 0.8281250 | Acc test: 0.8888889
 Iter:    68 | Cost: 0.0703614 | Acc train: 0.8203125 | Acc test: 0.8888889
 Iter:    69 | Cost: 0.0616087 | Acc train: 0.8144531 | Acc test: 0.8830409
 Iter:    70 | Cost: 0.0568333 | Acc train: 0.8144531 | Acc test: 0.8713450
 Iter:    71 | Cost: 0.0549042 | Acc train: 0.8125000 | Acc test: 0.8713450
 Iter:    72 | Cost: 0.0924922 | Acc train: 0.8144531 | Acc test: 0.8771930
 Iter:    73 | Cost: 0.0577968 | Acc train: 0.8281250 | Acc test: 0.8888889
