Iter:     1 | Cost: 0.2260637 | Acc train: 0.6503906 | Acc test: 0.7192982
 Iter:     2 | Cost: 0.1544503 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:     3 | Cost: 0.1779073 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:     4 | Cost: 0.1654316 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:     5 | Cost: 0.1659146 | Acc train: 0.6503906 | Acc test: 0.7192982
 Iter:     6 | Cost: 0.1375528 | Acc train: 0.7402344 | Acc test: 0.8070175
 Iter:     7 | Cost: 0.1181538 | Acc train: 0.8203125 | Acc test: 0.8888889
 Iter:     8 | Cost: 0.1012483 | Acc train: 0.8066406 | Acc test: 0.8888889
 Iter:     9 | Cost: 0.1245822 | Acc train: 0.8105469 | Acc test: 0.8947368
 Iter:    10 | Cost: 0.1199844 | Acc train: 0.8144531 | Acc test: 0.8830409
 Iter:    11 | Cost: 0.0982219 | Acc train: 0.8300781 | Acc test: 0.8947368
 Iter:    12 | Cost: 0.0683053 | Acc train: 0.8203125 | Acc test: 0.9005848
 Iter:    13 | Cost: 0.0707484 | Acc train: 0.8144531 | Acc test: 0.9064327
 Iter:    14 | Cost: 0.0730438 | Acc train: 0.8085938 | Acc test: 0.9005848
 Iter:    15 | Cost: 0.0934963 | Acc train: 0.8105469 | Acc test: 0.9005848
 Iter:    16 | Cost: 0.0744058 | Acc train: 0.8281250 | Acc test: 0.9064327
 Iter:    17 | Cost: 0.0821967 | Acc train: 0.8242188 | Acc test: 0.9005848
 Iter:    18 | Cost: 0.0784572 | Acc train: 0.8320312 | Acc test: 0.9064327
 Iter:    19 | Cost: 0.0541775 | Acc train: 0.8339844 | Acc test: 0.9005848
 Iter:    20 | Cost: 0.0748100 | Acc train: 0.8339844 | Acc test: 0.8947368
 Iter:    21 | Cost: 0.0830537 | Acc train: 0.8339844 | Acc test: 0.9122807
 Iter:    22 | Cost: 0.0752966 | Acc train: 0.8359375 | Acc test: 0.9064327
 Iter:    23 | Cost: 0.0481343 | Acc train: 0.8437500 | Acc test: 0.9181287
 Iter:    24 | Cost: 0.0722801 | Acc train: 0.8398438 | Acc test: 0.9005848
 Iter:    25 | Cost: 0.0581734 | Acc train: 0.8398438 | Acc test: 0.9005848
 Iter:    26 | Cost: 0.1012286 | Acc train: 0.8417969 | Acc test: 0.9005848
 Iter:    27 | Cost: 0.0691654 | Acc train: 0.8417969 | Acc test: 0.9005848
 Iter:    28 | Cost: 0.0896856 | Acc train: 0.8496094 | Acc test: 0.9005848
 Iter:    29 | Cost: 0.1100401 | Acc train: 0.8535156 | Acc test: 0.9064327
 Iter:    30 | Cost: 0.0644036 | Acc train: 0.8593750 | Acc test: 0.9122807
 Iter:    31 | Cost: 0.0703814 | Acc train: 0.8593750 | Acc test: 0.9122807
 Iter:    32 | Cost: 0.0885487 | Acc train: 0.8652344 | Acc test: 0.9122807
 Iter:    33 | Cost: 0.0662660 | Acc train: 0.8730469 | Acc test: 0.9064327
 Iter:    34 | Cost: 0.0925535 | Acc train: 0.8710938 | Acc test: 0.9064327
 Iter:    35 | Cost: 0.0581565 | Acc train: 0.8691406 | Acc test: 0.9005848
 Iter:    36 | Cost: 0.0728577 | Acc train: 0.8710938 | Acc test: 0.9064327
 Iter:    37 | Cost: 0.0400072 | Acc train: 0.8769531 | Acc test: 0.9122807
 Iter:    38 | Cost: 0.0603560 | Acc train: 0.8828125 | Acc test: 0.9181287
 Iter:    39 | Cost: 0.0696660 | Acc train: 0.8808594 | Acc test: 0.9122807
 Iter:    40 | Cost: 0.0581741 | Acc train: 0.8769531 | Acc test: 0.9064327
 Iter:    41 | Cost: 0.0429309 | Acc train: 0.8691406 | Acc test: 0.8947368
 Iter:    42 | Cost: 0.0298867 | Acc train: 0.8789062 | Acc test: 0.9122807
 Iter:    43 | Cost: 0.0489223 | Acc train: 0.8769531 | Acc test: 0.9122807
 Iter:    44 | Cost: 0.0596894 | Acc train: 0.8671875 | Acc test: 0.9005848
 Iter:    45 | Cost: 0.0518266 | Acc train: 0.8613281 | Acc test: 0.9005848
 Iter:    46 | Cost: 0.0404487 | Acc train: 0.8535156 | Acc test: 0.8947368
 Iter:    47 | Cost: 0.1063739 | Acc train: 0.8691406 | Acc test: 0.8947368
 Iter:    48 | Cost: 0.0600314 | Acc train: 0.8730469 | Acc test: 0.8888889
 Iter:    49 | Cost: 0.0744156 | Acc train: 0.8652344 | Acc test: 0.8888889
 Iter:    50 | Cost: 0.0475798 | Acc train: 0.8808594 | Acc test: 0.9005848
 Iter:    51 | Cost: 0.0689578 | Acc train: 0.8632812 | Acc test: 0.9064327
 Iter:    52 | Cost: 0.0800456 | Acc train: 0.8574219 | Acc test: 0.9005848
 Iter:    53 | Cost: 0.0610859 | Acc train: 0.8574219 | Acc test: 0.9005848
 Iter:    54 | Cost: 0.0634673 | Acc train: 0.8632812 | Acc test: 0.9064327
 Iter:    55 | Cost: 0.0632539 | Acc train: 0.8769531 | Acc test: 0.9122807
 Iter:    56 | Cost: 0.0400489 | Acc train: 0.8750000 | Acc test: 0.8888889
 Iter:    57 | Cost: 0.0514083 | Acc train: 0.8769531 | Acc test: 0.9005848
 Iter:    58 | Cost: 0.0421641 | Acc train: 0.8671875 | Acc test: 0.8888889
 Iter:    59 | Cost: 0.0580211 | Acc train: 0.8613281 | Acc test: 0.8947368
 Iter:    60 | Cost: 0.0802368 | Acc train: 0.8710938 | Acc test: 0.9005848
 Iter:    61 | Cost: 0.0575283 | Acc train: 0.8769531 | Acc test: 0.9064327
 Iter:    62 | Cost: 0.0589269 | Acc train: 0.8750000 | Acc test: 0.9239766
 Iter:    63 | Cost: 0.0268628 | Acc train: 0.8515625 | Acc test: 0.8713450
 Iter:    64 | Cost: 0.1194045 | Acc train: 0.8574219 | Acc test: 0.8771930
 Iter:    65 | Cost: 0.0478418 | Acc train: 0.8730469 | Acc test: 0.9239766
 Iter:    66 | Cost: 0.0605384 | Acc train: 0.8710938 | Acc test: 0.9122807
 Iter:    67 | Cost: 0.0844877 | Acc train: 0.8769531 | Acc test: 0.9181287
 Iter:    68 | Cost: 0.0653590 | Acc train: 0.8710938 | Acc test: 0.9181287
 Iter:    69 | Cost: 0.0626934 | Acc train: 0.8710938 | Acc test: 0.9122807
 Iter:    70 | Cost: 0.0608222 | Acc train: 0.8710938 | Acc test: 0.9122807
 Iter:    71 | Cost: 0.0573743 | Acc train: 0.8789062 | Acc test: 0.9122807
 Iter:    72 | Cost: 0.0699837 | Acc train: 0.8886719 | Acc test: 0.9064327
 Iter:    73 | Cost: 0.0249287 | Acc train: 0.8769531 | Acc test: 0.9005848
 Iter:    74 | Cost: 0.0587621 | Acc train: 0.8750000 | Acc test: 0.9239766
 Iter:    75 | Cost: 0.0612098 | Acc train: 0.8652344 | Acc test: 0.9239766
 Iter:    76 | Cost: 0.0613635 | Acc train: 0.8710938 | Acc test: 0.9239766
 Iter:    77 | Cost: 0.0391019 | Acc train: 0.8710938 | Acc test: 0.9239766
 Iter:    78 | Cost: 0.0271600 | Acc train: 0.8671875 | Acc test: 0.9239766
 Iter:    79 | Cost: 0.0480402 | Acc train: 0.8710938 | Acc test: 0.9239766
 Iter:    80 | Cost: 0.0478398 | Acc train: 0.8710938 | Acc test: 0.9239766
 Iter:    81 | Cost: 0.0418454 | Acc train: 0.8828125 | Acc test: 0.9239766
 Iter:    82 | Cost: 0.0784755 | Acc train: 0.8808594 | Acc test: 0.9181287
 Iter:    83 | Cost: 0.0627711 | Acc train: 0.8808594 | Acc test: 0.9122807
 Iter:    84 | Cost: 0.0622603 | Acc train: 0.8964844 | Acc test: 0.9005848
 Iter:    85 | Cost: 0.0772659 | Acc train: 0.8984375 | Acc test: 0.9005848
 Iter:    86 | Cost: 0.0624845 | Acc train: 0.8808594 | Acc test: 0.9005848
 Iter:    87 | Cost: 0.0782138 | Acc train: 0.8906250 | Acc test: 0.9005848
 Iter:    88 | Cost: 0.0607264 | Acc train: 0.8945312 | Acc test: 0.9005848
 Iter:    89 | Cost: 0.0510710 | Acc train: 0.8945312 | Acc test: 0.9005848
 Iter:    90 | Cost: 0.0578091 | Acc train: 0.8984375 | Acc test: 0.9064327
 Iter:    91 | Cost: 0.0801752 | Acc train: 0.8906250 | Acc test: 0.9005848
 Iter:    92 | Cost: 0.0488701 | Acc train: 0.8867188 | Acc test: 0.9064327
 Iter:    93 | Cost: 0.0670929 | Acc train: 0.8886719 | Acc test: 0.9181287
 Iter:    94 | Cost: 0.0738022 | Acc train: 0.8886719 | Acc test: 0.9181287
 Iter:    95 | Cost: 0.0418166 | Acc train: 0.8867188 | Acc test: 0.9181287
 Iter:    96 | Cost: 0.0771288 | Acc train: 0.8789062 | Acc test: 0.9005848
 Iter:    97 | Cost: 0.0525751 | Acc train: 0.8750000 | Acc test: 0.8888889
 Iter:    98 | Cost: 0.1153448 | Acc train: 0.8750000 | Acc test: 0.8888889
 Iter:    99 | Cost: 0.0639316 | Acc train: 0.8769531 | Acc test: 0.8888889
 Iter:   100 | Cost: 0.0782560 | Acc train: 0.8750000 | Acc test: 0.9005848
 Iter:   101 | Cost: 0.0302716 | Acc train: 0.8906250 | Acc test: 0.9122807
 Iter:   102 | Cost: 0.0823926 | Acc train: 0.8886719 | Acc test: 0.9181287
 Iter:   103 | Cost: 0.0986804 | Acc train: 0.8886719 | Acc test: 0.8947368
 Iter:   104 | Cost: 0.0808183 | Acc train: 0.8808594 | Acc test: 0.9064327
 Iter:   105 | Cost: 0.0516063 | Acc train: 0.8847656 | Acc test: 0.9005848
 Iter:   106 | Cost: 0.0462820 | Acc train: 0.8828125 | Acc test: 0.8947368
 Iter:   107 | Cost: 0.0618548 | Acc train: 0.8867188 | Acc test: 0.9122807
 Iter:   108 | Cost: 0.0770123 | Acc train: 0.8886719 | Acc test: 0.9181287
 Iter:   109 | Cost: 0.0484139 | Acc train: 0.8867188 | Acc test: 0.9181287
 Iter:   110 | Cost: 0.0406680 | Acc train: 0.8906250 | Acc test: 0.9181287
 Iter:   111 | Cost: 0.0628824 | Acc train: 0.8847656 | Acc test: 0.9181287
 Iter:   112 | Cost: 0.0603418 | Acc train: 0.8847656 | Acc test: 0.9122807
 Iter:   113 | Cost: 0.0539094 | Acc train: 0.8730469 | Acc test: 0.9122807
 Iter:   114 | Cost: 0.0727419 | Acc train: 0.8730469 | Acc test: 0.9064327
 Iter:   115 | Cost: 0.0494828 | Acc train: 0.8769531 | Acc test: 0.9005848
 Iter:   116 | Cost: 0.0669400 | Acc train: 0.8730469 | Acc test: 0.8947368
 Iter:   117 | Cost: 0.0522772 | Acc train: 0.8730469 | Acc test: 0.8947368
 Iter:   118 | Cost: 0.0869336 | Acc train: 0.8710938 | Acc test: 0.9005848
 Iter:   119 | Cost: 0.0756183 | Acc train: 0.8886719 | Acc test: 0.9122807
 Iter:   120 | Cost: 0.0453130 | Acc train: 0.8886719 | Acc test: 0.9005848
 Iter:   121 | Cost: 0.0826180 | Acc train: 0.8906250 | Acc test: 0.8947368
 Iter:   122 | Cost: 0.0377172 | Acc train: 0.8691406 | Acc test: 0.8888889
