Iter:     1 | Cost: 0.1760636 | Acc train: 0.3828125 | Acc test: 0.3157895
 Iter:     2 | Cost: 0.1725444 | Acc train: 0.3710938 | Acc test: 0.3274854
 Iter:     3 | Cost: 0.1654273 | Acc train: 0.4101562 | Acc test: 0.4093567
 Iter:     4 | Cost: 0.1618765 | Acc train: 0.4179688 | Acc test: 0.4385965
 Iter:     5 | Cost: 0.1552082 | Acc train: 0.4335938 | Acc test: 0.4736842
 Iter:     6 | Cost: 0.1521199 | Acc train: 0.4492188 | Acc test: 0.4970760
 Iter:     7 | Cost: 0.1569085 | Acc train: 0.4433594 | Acc test: 0.5029240
 Iter:     8 | Cost: 0.1389621 | Acc train: 0.4941406 | Acc test: 0.5321637
 Iter:     9 | Cost: 0.1498347 | Acc train: 0.5195312 | Acc test: 0.5730994
 Iter:    10 | Cost: 0.1601342 | Acc train: 0.5195312 | Acc test: 0.5789474
 Iter:    11 | Cost: 0.1589376 | Acc train: 0.5312500 | Acc test: 0.5964912
 Iter:    12 | Cost: 0.1436431 | Acc train: 0.5449219 | Acc test: 0.5964912
 Iter:    13 | Cost: 0.1372948 | Acc train: 0.5605469 | Acc test: 0.6023392
 Iter:    14 | Cost: 0.1466046 | Acc train: 0.5664062 | Acc test: 0.6081871
 Iter:    15 | Cost: 0.1430652 | Acc train: 0.5820312 | Acc test: 0.6198830
 Iter:    16 | Cost: 0.1477032 | Acc train: 0.6152344 | Acc test: 0.6374269
 Iter:    17 | Cost: 0.1448203 | Acc train: 0.6191406 | Acc test: 0.6959064
 Iter:    18 | Cost: 0.1493862 | Acc train: 0.6171875 | Acc test: 0.7076023
 Iter:    19 | Cost: 0.1369543 | Acc train: 0.6152344 | Acc test: 0.7076023
 Iter:    20 | Cost: 0.1269959 | Acc train: 0.6464844 | Acc test: 0.7368421
 Iter:    21 | Cost: 0.1324591 | Acc train: 0.6503906 | Acc test: 0.7251462
 Iter:    22 | Cost: 0.1191063 | Acc train: 0.6542969 | Acc test: 0.7251462
 Iter:    23 | Cost: 0.1091268 | Acc train: 0.6464844 | Acc test: 0.7134503
 Iter:    24 | Cost: 0.1251691 | Acc train: 0.6503906 | Acc test: 0.7192982
 Iter:    25 | Cost: 0.1124678 | Acc train: 0.6484375 | Acc test: 0.7134503
 Iter:    26 | Cost: 0.1346165 | Acc train: 0.6464844 | Acc test: 0.7017544
 Iter:    27 | Cost: 0.1143693 | Acc train: 0.6464844 | Acc test: 0.7017544
 Iter:    28 | Cost: 0.1146392 | Acc train: 0.6464844 | Acc test: 0.6959064
 Iter:    29 | Cost: 0.1240466 | Acc train: 0.6425781 | Acc test: 0.6900585
 Iter:    30 | Cost: 0.1107881 | Acc train: 0.6425781 | Acc test: 0.6900585
 Iter:    31 | Cost: 0.0996051 | Acc train: 0.6425781 | Acc test: 0.6842105
 Iter:    32 | Cost: 0.1129248 | Acc train: 0.6406250 | Acc test: 0.6842105
 Iter:    33 | Cost: 0.0885511 | Acc train: 0.6406250 | Acc test: 0.6842105
