Iter:     1 | Cost: 0.1591716 | Acc train: 0.5761719 | Acc test: 0.5964912
 Iter:     2 | Cost: 0.1281973 | Acc train: 0.6347656 | Acc test: 0.6900585
 Iter:     3 | Cost: 0.1262573 | Acc train: 0.6406250 | Acc test: 0.6842105
 Iter:     4 | Cost: 0.1151838 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:     5 | Cost: 0.1354747 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:     6 | Cost: 0.1257762 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:     7 | Cost: 0.1172984 | Acc train: 0.6406250 | Acc test: 0.6842105
 Iter:     8 | Cost: 0.1140124 | Acc train: 0.6425781 | Acc test: 0.6842105
 Iter:     9 | Cost: 0.0869515 | Acc train: 0.6425781 | Acc test: 0.6959064
 Iter:    10 | Cost: 0.1330987 | Acc train: 0.6582031 | Acc test: 0.7192982
 Iter:    11 | Cost: 0.1175893 | Acc train: 0.7148438 | Acc test: 0.7309942
 Iter:    12 | Cost: 0.0924668 | Acc train: 0.7714844 | Acc test: 0.8070175
 Iter:    13 | Cost: 0.0904996 | Acc train: 0.7929688 | Acc test: 0.8187135
 Iter:    14 | Cost: 0.0974455 | Acc train: 0.8007812 | Acc test: 0.8245614
 Iter:    15 | Cost: 0.0969997 | Acc train: 0.8066406 | Acc test: 0.8304094
 Iter:    16 | Cost: 0.0797740 | Acc train: 0.8085938 | Acc test: 0.8479532
 Iter:    17 | Cost: 0.0734906 | Acc train: 0.8027344 | Acc test: 0.8479532
 Iter:    18 | Cost: 0.1016531 | Acc train: 0.8183594 | Acc test: 0.8713450
 Iter:    19 | Cost: 0.0622161 | Acc train: 0.8261719 | Acc test: 0.8830409
 Iter:    20 | Cost: 0.0630083 | Acc train: 0.8320312 | Acc test: 0.8888889
 Iter:    21 | Cost: 0.0695787 | Acc train: 0.8378906 | Acc test: 0.8771930
 Iter:    22 | Cost: 0.0641523 | Acc train: 0.8437500 | Acc test: 0.8596491
 Iter:    23 | Cost: 0.0556816 | Acc train: 0.8457031 | Acc test: 0.8654971
 Iter:    24 | Cost: 0.0579128 | Acc train: 0.8476562 | Acc test: 0.8654971
 Iter:    25 | Cost: 0.0584450 | Acc train: 0.8574219 | Acc test: 0.8771930
 Iter:    26 | Cost: 0.0727438 | Acc train: 0.8554688 | Acc test: 0.8830409
 Iter:    27 | Cost: 0.0563039 | Acc train: 0.8574219 | Acc test: 0.8830409
 Iter:    28 | Cost: 0.0636896 | Acc train: 0.8574219 | Acc test: 0.8771930
 Iter:    29 | Cost: 0.0587428 | Acc train: 0.8632812 | Acc test: 0.8713450
 Iter:    30 | Cost: 0.0506870 | Acc train: 0.8671875 | Acc test: 0.8771930
 Iter:    31 | Cost: 0.0424400 | Acc train: 0.8632812 | Acc test: 0.8654971
 Iter:    32 | Cost: 0.0730140 | Acc train: 0.8691406 | Acc test: 0.8771930
 Iter:    33 | Cost: 0.0588101 | Acc train: 0.8691406 | Acc test: 0.8771930
 Iter:    34 | Cost: 0.0702905 | Acc train: 0.8789062 | Acc test: 0.8771930
 Iter:    35 | Cost: 0.0478323 | Acc train: 0.8769531 | Acc test: 0.8830409
 Iter:    36 | Cost: 0.0502709 | Acc train: 0.8769531 | Acc test: 0.8771930
 Iter:    37 | Cost: 0.0330350 | Acc train: 0.8769531 | Acc test: 0.8888889
 Iter:    38 | Cost: 0.0391170 | Acc train: 0.8789062 | Acc test: 0.8888889
 Iter:    39 | Cost: 0.0550191 | Acc train: 0.8789062 | Acc test: 0.8888889
 Iter:    40 | Cost: 0.0475154 | Acc train: 0.8769531 | Acc test: 0.8830409
 Iter:    41 | Cost: 0.0332670 | Acc train: 0.8867188 | Acc test: 0.8888889
 Iter:    42 | Cost: 0.0241657 | Acc train: 0.8867188 | Acc test: 0.8947368
 Iter:    43 | Cost: 0.0351599 | Acc train: 0.8847656 | Acc test: 0.8947368
 Iter:    44 | Cost: 0.0470347 | Acc train: 0.8847656 | Acc test: 0.8947368
 Iter:    45 | Cost: 0.0464712 | Acc train: 0.8886719 | Acc test: 0.9005848
 Iter:    46 | Cost: 0.0342451 | Acc train: 0.8750000 | Acc test: 0.8947368
 Iter:    47 | Cost: 0.0803927 | Acc train: 0.8710938 | Acc test: 0.8888889
 Iter:    48 | Cost: 0.0466931 | Acc train: 0.8750000 | Acc test: 0.8888889
 Iter:    49 | Cost: 0.0677563 | Acc train: 0.8769531 | Acc test: 0.9005848
 Iter:    50 | Cost: 0.0447261 | Acc train: 0.8769531 | Acc test: 0.8947368
 Iter:    51 | Cost: 0.0685110 | Acc train: 0.8906250 | Acc test: 0.8947368
