 Iter:     1 | Cost: 0.1782550 | Acc train: 0.3535156 | Acc test: 0.3040936
 Iter:     2 | Cost: 0.1580019 | Acc train: 0.6425781 | Acc test: 0.6842105
 Iter:     3 | Cost: 0.1427304 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:     4 | Cost: 0.1337849 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:     5 | Cost: 0.1280779 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:     6 | Cost: 0.1162585 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:     7 | Cost: 0.1115005 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:     8 | Cost: 0.1145721 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:     9 | Cost: 0.0882844 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    10 | Cost: 0.1385127 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    11 | Cost: 0.1338318 | Acc train: 0.6386719 | Acc test: 0.6842105
 Iter:    12 | Cost: 0.0907875 | Acc train: 0.6367188 | Acc test: 0.6842105
 Iter:    13 | Cost: 0.0858700 | Acc train: 0.6718750 | Acc test: 0.7251462
 Iter:    14 | Cost: 0.0882206 | Acc train: 0.7617188 | Acc test: 0.8128655
 Iter:    15 | Cost: 0.1063043 | Acc train: 0.8007812 | Acc test: 0.8771930
 Iter:    16 | Cost: 0.0823307 | Acc train: 0.8183594 | Acc test: 0.9005848
 Iter:    17 | Cost: 0.0777499 | Acc train: 0.8203125 | Acc test: 0.9005848
 Iter:    18 | Cost: 0.1041935 | Acc train: 0.8242188 | Acc test: 0.8888889
 Iter:    19 | Cost: 0.0667927 | Acc train: 0.8261719 | Acc test: 0.8830409
 Iter:    20 | Cost: 0.0769479 | Acc train: 0.8222656 | Acc test: 0.8771930
 Iter:    21 | Cost: 0.0853768 | Acc train: 0.8222656 | Acc test: 0.8713450
 Iter:    22 | Cost: 0.0783791 | Acc train: 0.8222656 | Acc test: 0.8771930
 Iter:    23 | Cost: 0.0600580 | Acc train: 0.8222656 | Acc test: 0.8947368
 Iter:    24 | Cost: 0.0850444 | Acc train: 0.8105469 | Acc test: 0.9005848
 Iter:    25 | Cost: 0.0742973 | Acc train: 0.8144531 | Acc test: 0.9005848
 Iter:    26 | Cost: 0.1067462 | Acc train: 0.8066406 | Acc test: 0.8888889
 Iter:    27 | Cost: 0.0974580 | Acc train: 0.8066406 | Acc test: 0.8888889
 Iter:    28 | Cost: 0.0945687 | Acc train: 0.8085938 | Acc test: 0.8947368
 Iter:    29 | Cost: 0.1194973 | Acc train: 0.8105469 | Acc test: 0.8947368
 Iter:    30 | Cost: 0.0598766 | Acc train: 0.8066406 | Acc test: 0.8947368
 Iter:    31 | Cost: 0.0648496 | Acc train: 0.8125000 | Acc test: 0.9005848
 Iter:    32 | Cost: 0.0610411 | Acc train: 0.8320312 | Acc test: 0.9005848
 Iter:    33 | Cost: 0.0511399 | Acc train: 0.8359375 | Acc test: 0.8888889
 Iter:    34 | Cost: 0.1056360 | Acc train: 0.8359375 | Acc test: 0.8888889
 Iter:    35 | Cost: 0.0649776 | Acc train: 0.8378906 | Acc test: 0.8947368
 Iter:    36 | Cost: 0.0823413 | Acc train: 0.8476562 | Acc test: 0.8947368
 Iter:    37 | Cost: 0.0503934 | Acc train: 0.8457031 | Acc test: 0.9005848
 Iter:    38 | Cost: 0.0432836 | Acc train: 0.8457031 | Acc test: 0.9005848
 Iter:    39 | Cost: 0.0771083 | Acc train: 0.8457031 | Acc test: 0.9005848
 Iter:    40 | Cost: 0.0771434 | Acc train: 0.8457031 | Acc test: 0.8888889
 Iter:    41 | Cost: 0.0560791 | Acc train: 0.8457031 | Acc test: 0.8888889
 Iter:    42 | Cost: 0.0340820 | Acc train: 0.8437500 | Acc test: 0.8888889
 Iter:    43 | Cost: 0.0469815 | Acc train: 0.8457031 | Acc test: 0.8888889
 Iter:    44 | Cost: 0.0686534 | Acc train: 0.8437500 | Acc test: 0.8947368
 Iter:    45 | Cost: 0.0594798 | Acc train: 0.8417969 | Acc test: 0.8947368
 Iter:    46 | Cost: 0.0308921 | Acc train: 0.8339844 | Acc test: 0.8947368
 Iter:    47 | Cost: 0.0858691 | Acc train: 0.8281250 | Acc test: 0.8947368
 Iter:    48 | Cost: 0.0495989 | Acc train: 0.8320312 | Acc test: 0.8888889
 Iter:    49 | Cost: 0.0766989 | Acc train: 0.8378906 | Acc test: 0.8771930
 Iter:    50 | Cost: 0.0632822 | Acc train: 0.8496094 | Acc test: 0.8947368
 Iter:    51 | Cost: 0.0703332 | Acc train: 0.8417969 | Acc test: 0.9005848
 Iter:    52 | Cost: 0.0631428 | Acc train: 0.8496094 | Acc test: 0.9005848
 Iter:    53 | Cost: 0.0402763 | Acc train: 0.8515625 | Acc test: 0.9005848
 Iter:    54 | Cost: 0.0679816 | Acc train: 0.8515625 | Acc test: 0.9005848
 Iter:    55 | Cost: 0.0740641 | Acc train: 0.8515625 | Acc test: 0.9005848
 Iter:    56 | Cost: 0.0580714 | Acc train: 0.8554688 | Acc test: 0.8888889
 Iter:    57 | Cost: 0.0495779 | Acc train: 0.8496094 | Acc test: 0.8888889
 Iter:    58 | Cost: 0.0674464 | Acc train: 0.8476562 | Acc test: 0.8888889
 Iter:    59 | Cost: 0.0486796 | Acc train: 0.8320312 | Acc test: 0.8947368
 Iter:    60 | Cost: 0.0867833 | Acc train: 0.8437500 | Acc test: 0.8947368
 Iter:    61 | Cost: 0.0485582 | Acc train: 0.8496094 | Acc test: 0.8947368
 Iter:    62 | Cost: 0.0407082 | Acc train: 0.8515625 | Acc test: 0.8830409
 Iter:    63 | Cost: 0.0341152 | Acc train: 0.8574219 | Acc test: 0.9064327
 Iter:    64 | Cost: 0.0575613 | Acc train: 0.8476562 | Acc test: 0.9005848
 Iter:    65 | Cost: 0.0322263 | Acc train: 0.8535156 | Acc test: 0.9064327
 Iter:    66 | Cost: 0.0724322 | Acc train: 0.8515625 | Acc test: 0.9064327
 Iter:    67 | Cost: 0.0816175 | Acc train: 0.8515625 | Acc test: 0.9064327
 Iter:    68 | Cost: 0.0667574 | Acc train: 0.8613281 | Acc test: 0.9005848
 Iter:    69 | Cost: 0.0583669 | Acc train: 0.8593750 | Acc test: 0.9064327
 Iter:    70 | Cost: 0.0696943 | Acc train: 0.8593750 | Acc test: 0.9064327
 Iter:    71 | Cost: 0.0495051 | Acc train: 0.8593750 | Acc test: 0.9005848
 Iter:    72 | Cost: 0.0730760 | Acc train: 0.8593750 | Acc test: 0.9005848
 Iter:    73 | Cost: 0.0487434 | Acc train: 0.8652344 | Acc test: 0.9005848
 Iter:    74 | Cost: 0.0635635 | Acc train: 0.8652344 | Acc test: 0.8947368
 Iter:    75 | Cost: 0.0531858 | Acc train: 0.8671875 | Acc test: 0.8947368
 Iter:    76 | Cost: 0.0629229 | Acc train: 0.8671875 | Acc test: 0.8947368
 Iter:    77 | Cost: 0.0648833 | Acc train: 0.8671875 | Acc test: 0.8947368
 Iter:    78 | Cost: 0.0170406 | Acc train: 0.8710938 | Acc test: 0.8947368
 Iter:    79 | Cost: 0.0478702 | Acc train: 0.8710938 | Acc test: 0.8947368
 Iter:    80 | Cost: 0.0573828 | Acc train: 0.8730469 | Acc test: 0.9005848
 Iter:    81 | Cost: 0.0321119 | Acc train: 0.8691406 | Acc test: 0.9005848
 Iter:    82 | Cost: 0.0653385 | Acc train: 0.8730469 | Acc test: 0.8947368
 Iter:    83 | Cost: 0.0611122 | Acc train: 0.8710938 | Acc test: 0.8947368
 Iter:    84 | Cost: 0.0603302 | Acc train: 0.8730469 | Acc test: 0.9005848
 Iter:    85 | Cost: 0.0607947 | Acc train: 0.8710938 | Acc test: 0.9005848
 Iter:    86 | Cost: 0.0496499 | Acc train: 0.8710938 | Acc test: 0.8947368
 Iter:    87 | Cost: 0.0720272 | Acc train: 0.8710938 | Acc test: 0.8947368
 Iter:    88 | Cost: 0.0547722 | Acc train: 0.8671875 | Acc test: 0.8947368
 Iter:    89 | Cost: 0.0558804 | Acc train: 0.8671875 | Acc test: 0.9005848
 Iter:    90 | Cost: 0.0461792 | Acc train: 0.8769531 | Acc test: 0.9005848
 Iter:    91 | Cost: 0.0727743 | Acc train: 0.8750000 | Acc test: 0.9005848
 Iter:    92 | Cost: 0.0566126 | Acc train: 0.8691406 | Acc test: 0.9005848
 Iter:    93 | Cost: 0.0672153 | Acc train: 0.8710938 | Acc test: 0.9064327
 Iter:    94 | Cost: 0.0870019 | Acc train: 0.8710938 | Acc test: 0.9005848
 Iter:    95 | Cost: 0.0489213 | Acc train: 0.8652344 | Acc test: 0.9122807
 Iter:    96 | Cost: 0.0760470 | Acc train: 0.8652344 | Acc test: 0.9181287
 Iter:    97 | Cost: 0.0437636 | Acc train: 0.8554688 | Acc test: 0.9064327
 Iter:    98 | Cost: 0.0907209 | Acc train: 0.8574219 | Acc test: 0.9122807
 Iter:    99 | Cost: 0.0519658 | Acc train: 0.8730469 | Acc test: 0.9122807
 Iter:   100 | Cost: 0.0582483 | Acc train: 0.8789062 | Acc test: 0.9064327
 Iter:   101 | Cost: 0.0323764 | Acc train: 0.8730469 | Acc test: 0.9122807
 Iter:   102 | Cost: 0.0754927 | Acc train: 0.8632812 | Acc test: 0.8947368
 Iter:   103 | Cost: 0.0753432 | Acc train: 0.8515625 | Acc test: 0.8830409
 Iter:   104 | Cost: 0.0685230 | Acc train: 0.8554688 | Acc test: 0.8830409
 Iter:   105 | Cost: 0.0529431 | Acc train: 0.8691406 | Acc test: 0.9005848
 Iter:   106 | Cost: 0.0563118 | Acc train: 0.8808594 | Acc test: 0.9181287
 Iter:   107 | Cost: 0.0570333 | Acc train: 0.8750000 | Acc test: 0.9122807
 Iter:   108 | Cost: 0.0625666 | Acc train: 0.8691406 | Acc test: 0.9122807
 Iter:   109 | Cost: 0.0574252 | Acc train: 0.8671875 | Acc test: 0.8947368
 Iter:   110 | Cost: 0.0466524 | Acc train: 0.8671875 | Acc test: 0.8947368
 Iter:   111 | Cost: 0.0717514 | Acc train: 0.8671875 | Acc test: 0.9122807
 Iter:   112 | Cost: 0.0589950 | Acc train: 0.8730469 | Acc test: 0.9122807
 Iter:   113 | Cost: 0.0324064 | Acc train: 0.8769531 | Acc test: 0.9122807
 Iter:   114 | Cost: 0.0595625 | Acc train: 0.8750000 | Acc test: 0.9122807
 Iter:   115 | Cost: 0.0403836 | Acc train: 0.8769531 | Acc test: 0.9122807
 Iter:   116 | Cost: 0.0622852 | Acc train: 0.8710938 | Acc test: 0.9122807
 Iter:   117 | Cost: 0.0513335 | Acc train: 0.8730469 | Acc test: 0.9181287
 Iter:   118 | Cost: 0.0790177 | Acc train: 0.8750000 | Acc test: 0.9239766
 Iter:   119 | Cost: 0.0715130 | Acc train: 0.8769531 | Acc test: 0.9122807
 Iter:   120 | Cost: 0.0323764 | Acc train: 0.8769531 | Acc test: 0.9005848
 Iter:   121 | Cost: 0.0601073 | Acc train: 0.8769531 | Acc test: 0.9064327
 Iter:   122 | Cost: 0.0319060 | Acc train: 0.8769531 | Acc test: 0.9064327
 Iter:   123 | Cost: 0.0428491 | Acc train: 0.8750000 | Acc test: 0.9064327
 Iter:   124 | Cost: 0.0402264 | Acc train: 0.8750000 | Acc test: 0.9064327
 Iter:   125 | Cost: 0.0610331 | Acc train: 0.8789062 | Acc test: 0.9064327
 Iter:   126 | Cost: 0.0653490 | Acc train: 0.8769531 | Acc test: 0.9005848
 Iter:   127 | Cost: 0.0481335 | Acc train: 0.8750000 | Acc test: 0.9122807
 Iter:   128 | Cost: 0.0454095 | Acc train: 0.8750000 | Acc test: 0.9122807
 Iter:   129 | Cost: 0.0521239 | Acc train: 0.8730469 | Acc test: 0.9122807
 Iter:   130 | Cost: 0.0479431 | Acc train: 0.8769531 | Acc test: 0.9122807
 Iter:   131 | Cost: 0.0256645 | Acc train: 0.8867188 | Acc test: 0.9005848
 Iter:   132 | Cost: 0.0882505 | Acc train: 0.8867188 | Acc test: 0.9005848
 Iter:   133 | Cost: 0.0491837 | Acc train: 0.8730469 | Acc test: 0.9005848
 Iter:   134 | Cost: 0.0526253 | Acc train: 0.8691406 | Acc test: 0.8947368
 Iter:   135 | Cost: 0.0261064 | Acc train: 0.8750000 | Acc test: 0.9005848
 Iter:   136 | Cost: 0.0759186 | Acc train: 0.8789062 | Acc test: 0.8888889
 Iter:   137 | Cost: 0.0501163 | Acc train: 0.8906250 | Acc test: 0.9064327
 Iter:   138 | Cost: 0.0447232 | Acc train: 0.8808594 | Acc test: 0.9005848
 Iter:   139 | Cost: 0.0435823 | Acc train: 0.8808594 | Acc test: 0.9181287
 Iter:   140 | Cost: 0.0114776 | Acc train: 0.8828125 | Acc test: 0.9122807
 Iter:   141 | Cost: 0.0581503 | Acc train: 0.8789062 | Acc test: 0.9122807
 Iter:   142 | Cost: 0.0507797 | Acc train: 0.8769531 | Acc test: 0.9122807
 Iter:   143 | Cost: 0.0359570 | Acc train: 0.8789062 | Acc test: 0.9122807
 Iter:   144 | Cost: 0.0580236 | Acc train: 0.8750000 | Acc test: 0.9122807
 Iter:   145 | Cost: 0.0680939 | Acc train: 0.8808594 | Acc test: 0.9181287
 Iter:   146 | Cost: 0.0721816 | Acc train: 0.8750000 | Acc test: 0.9181287
 Iter:   147 | Cost: 0.0349592 | Acc train: 0.8710938 | Acc test: 0.9122807
 Iter:   148 | Cost: 0.0421624 | Acc train: 0.8769531 | Acc test: 0.9181287
 Iter:   149 | Cost: 0.0566772 | Acc train: 0.8750000 | Acc test: 0.9181287
 Iter:   150 | Cost: 0.0644666 | Acc train: 0.8847656 | Acc test: 0.9064327
 Iter:   151 | Cost: 0.0388341 | Acc train: 0.8750000 | Acc test: 0.9005848
 Iter:   152 | Cost: 0.0431944 | Acc train: 0.8652344 | Acc test: 0.8947368
 Iter:   153 | Cost: 0.0502796 | Acc train: 0.8554688 | Acc test: 0.8830409
 Iter:   154 | Cost: 0.0298543 | Acc train: 0.8574219 | Acc test: 0.8888889
 Iter:   155 | Cost: 0.0813374 | Acc train: 0.8652344 | Acc test: 0.8947368
 Iter:   156 | Cost: 0.0374787 | Acc train: 0.8710938 | Acc test: 0.8947368
 Iter:   157 | Cost: 0.0665869 | Acc train: 0.8789062 | Acc test: 0.9122807
 Iter:   158 | Cost: 0.0252125 | Acc train: 0.8769531 | Acc test: 0.9181287
 Iter:   159 | Cost: 0.0445599 | Acc train: 0.8574219 | Acc test: 0.9122807
 Iter:   160 | Cost: 0.0581090 | Acc train: 0.8554688 | Acc test: 0.9064327
 Iter:   161 | Cost: 0.0429992 | Acc train: 0.8574219 | Acc test: 0.9122807
 Iter:   162 | Cost: 0.0645248 | Acc train: 0.8535156 | Acc test: 0.9122807
 Iter:   163 | Cost: 0.0438165 | Acc train: 0.8691406 | Acc test: 0.9122807
 Iter:   164 | Cost: 0.0405783 | Acc train: 0.8847656 | Acc test: 0.9181287
 Iter:   165 | Cost: 0.0564671 | Acc train: 0.8828125 | Acc test: 0.9122807
 Iter:   166 | Cost: 0.0495490 | Acc train: 0.8789062 | Acc test: 0.9122807
 Iter:   167 | Cost: 0.0511172 | Acc train: 0.8789062 | Acc test: 0.9122807
 Iter:   168 | Cost: 0.0518089 | Acc train: 0.8828125 | Acc test: 0.9064327
