Iter:     1 | Cost: 0.1707390 | Acc train: 0.5549048
 Iter:     2 | Cost: 0.1355418 | Acc train: 0.6734993
 Iter:     3 | Cost: 0.0795344 | Acc train: 0.6544656
 Iter:     4 | Cost: 0.0457249 | Acc train: 0.6500732
 Iter:     5 | Cost: 0.0967788 | Acc train: 0.6500732
 Iter:     6 | Cost: 0.0539807 | Acc train: 0.6500732
 Iter:     7 | Cost: 0.1593777 | Acc train: 0.6500732
 Iter:     8 | Cost: 0.2078903 | Acc train: 0.6515373
 Iter:     9 | Cost: 0.2154401 | Acc train: 0.6573939
 Iter:    10 | Cost: 0.1010655 | Acc train: 0.6822840
 Iter:    11 | Cost: 0.0901775 | Acc train: 0.7130307
 Iter:    12 | Cost: 0.0866643 | Acc train: 0.7774524
 Iter:    13 | Cost: 0.1035009 | Acc train: 0.8199122
 Iter:    14 | Cost: 0.0815804 | Acc train: 0.8360176
 Iter:    15 | Cost: 0.0707174 | Acc train: 0.8155198
 Iter:    16 | Cost: 0.0970859 | Acc train: 0.7920937
 Iter:    17 | Cost: 0.1249137 | Acc train: 0.7657394
 Iter:    18 | Cost: 0.0759151 | Acc train: 0.7818448
 Iter:    19 | Cost: 0.1034897 | Acc train: 0.8111274
 Iter:    20 | Cost: 0.0875865 | Acc train: 0.8535871
 Iter:    21 | Cost: 0.0728227 | Acc train: 0.8535871
 Iter:    22 | Cost: 0.0256549 | Acc train: 0.8462665
 Iter:    23 | Cost: 0.0373030 | Acc train: 0.8404100
 Iter:    24 | Cost: 0.0485354 | Acc train: 0.8374817
 Iter:    25 | Cost: 0.0542887 | Acc train: 0.8389458
 Iter:    26 | Cost: 0.0199847 | Acc train: 0.8389458
 Iter:    27 | Cost: 0.0678675 | Acc train: 0.8404100
 Iter:    28 | Cost: 0.0379293 | Acc train: 0.8389458
 Iter:    29 | Cost: 0.0831238 | Acc train: 0.8404100
 Iter:    30 | Cost: 0.0389485 | Acc train: 0.8477306
 Iter:    31 | Cost: 0.0983808 | Acc train: 0.8565154
 Iter:    32 | Cost: 0.0972568 | Acc train: 0.8609078
 Iter:    33 | Cost: 0.0080096 | Acc train: 0.8579795
 Iter:    34 | Cost: 0.0311970 | Acc train: 0.8535871
 Iter:    35 | Cost: 0.1437368 | Acc train: 0.8579795
 Iter:    36 | Cost: 0.0491832 | Acc train: 0.8579795
 Iter:    37 | Cost: 0.0239617 | Acc train: 0.8609078
 Iter:    38 | Cost: 0.0236669 | Acc train: 0.8565154
 Iter:    39 | Cost: 0.0371686 | Acc train: 0.8550512
 Iter:    40 | Cost: 0.0605381 | Acc train: 0.8579795
 Iter:    41 | Cost: 0.0467269 | Acc train: 0.8609078
 Iter:    42 | Cost: 0.0798598 | Acc train: 0.8535871
 Iter:    43 | Cost: 0.0269654 | Acc train: 0.8477306
 Iter:    44 | Cost: 0.0746003 | Acc train: 0.8389458
 Iter:    45 | Cost: 0.0305587 | Acc train: 0.8360176
 Iter:    46 | Cost: 0.0339289 | Acc train: 0.8389458
 Iter:    47 | Cost: 0.0294749 | Acc train: 0.8462665
 Iter:    48 | Cost: 0.0362559 | Acc train: 0.8477306
 Iter:    49 | Cost: 0.0369955 | Acc train: 0.8477306
 Iter:    50 | Cost: 0.0202622 | Acc train: 0.8521230
 Iter:    51 | Cost: 0.0465026 | Acc train: 0.8579795
 Iter:    52 | Cost: 0.0463328 | Acc train: 0.8653001
 Iter:    53 | Cost: 0.0511418 | Acc train: 0.8682284
 Iter:    54 | Cost: 0.0960563 | Acc train: 0.8653001
 Iter:    55 | Cost: 0.0151973 | Acc train: 0.8784773
 Iter:    56 | Cost: 0.0496437 | Acc train: 0.8696925
 Iter:    57 | Cost: 0.0450647 | Acc train: 0.8726208
 Iter:    58 | Cost: 0.0525022 | Acc train: 0.8653001
 Iter:    59 | Cost: 0.0247407 | Acc train: 0.8623719
 Iter:    60 | Cost: 0.0272440 | Acc train: 0.8594436
 Iter:    61 | Cost: 0.0270450 | Acc train: 0.8521230
 Iter:    62 | Cost: 0.0994153 | Acc train: 0.8448023
 Iter:    63 | Cost: 0.0409258 | Acc train: 0.8579795
 Iter:    64 | Cost: 0.0437687 | Acc train: 0.8609078
 Iter:    65 | Cost: 0.0682857 | Acc train: 0.8638360
 Iter:    66 | Cost: 0.0836156 | Acc train: 0.8696925
 Iter:    67 | Cost: 0.0523475 | Acc train: 0.8711567
 Iter:    68 | Cost: 0.0000000 | Acc train: 0.8711567
 Iter:    69 | Cost: 0.0590530 | Acc train: 0.8755490
 Iter:    70 | Cost: 0.0442906 | Acc train: 0.8726208
 Iter:    71 | Cost: 0.0594108 | Acc train: 0.8711567
 Iter:    72 | Cost: 0.0949339 | Acc train: 0.8740849
 Iter:    73 | Cost: 0.0455121 | Acc train: 0.8740849
 Iter:    74 | Cost: 0.0201855 | Acc train: 0.8740849
 Iter:    75 | Cost: 0.0631182 | Acc train: 0.8770132
 Iter:    76 | Cost: 0.0203795 | Acc train: 0.8667643
 Iter:    77 | Cost: 0.0454632 | Acc train: 0.8638360
 Iter:    78 | Cost: 0.0323259 | Acc train: 0.8667643
 Iter:    79 | Cost: 0.0413034 | Acc train: 0.8609078
 Iter:    80 | Cost: 0.1019857 | Acc train: 0.8623719
 Iter:    81 | Cost: 0.0168892 | Acc train: 0.8579795
 Iter:    82 | Cost: 0.0066308 | Acc train: 0.8594436
 Iter:    83 | Cost: 0.1373211 | Acc train: 0.8682284
 Iter:    84 | Cost: 0.0812762 | Acc train: 0.8653001
 Iter:    85 | Cost: 0.0511354 | Acc train: 0.8784773
 Iter:    86 | Cost: 0.0201094 | Acc train: 0.8696925
 Iter:    87 | Cost: 0.0168939 | Acc train: 0.8770132
 Iter:    88 | Cost: 0.0021825 | Acc train: 0.8711567
 Iter:    89 | Cost: 0.0171301 | Acc train: 0.8638360
 Iter:    90 | Cost: 0.0789391 | Acc train: 0.8667643
 Iter:    91 | Cost: 0.0164755 | Acc train: 0.8653001
 Iter:    92 | Cost: 0.0486783 | Acc train: 0.8667643
 Iter:    93 | Cost: 0.0144704 | Acc train: 0.8711567
 Iter:    94 | Cost: 0.0344695 | Acc train: 0.8726208
 Iter:    95 | Cost: 0.0545460 | Acc train: 0.8740849
 Iter:    96 | Cost: 0.0755405 | Acc train: 0.8814056
 Iter:    97 | Cost: 0.0840988 | Acc train: 0.8931186
 Iter:    98 | Cost: 0.0328259 | Acc train: 0.8857980
 Iter:    99 | Cost: 0.0233712 | Acc train: 0.8784773
 Iter:   100 | Cost: 0.0427739 | Acc train: 0.8770132
 Total Run Time:4057.8997423648834 s
